TrainLoss, TrainAcc, ValLoss, ValAcc 
1.403449052,0.566333333,1.386988865,0.571333333
1.364148519,0.577966667,1.347979898,0.587333333
1.326603801,0.588266667,1.310723993,0.601333333
1.290862618,0.5983,1.275259506,0.611
1.256934883,0.6095,1.241587756,0.622333333
1.224800605,0.618833333,1.209681566,0.628
1.194413283,0.628533333,1.179488117,0.639
1.165699261,0.6374,1.150935031,0.651
1.138568703,0.6469,1.123931311,0.659333333
1.11291823,0.656,1.098374439,0.666666667
1.088641199,0.664466667,1.074156828,0.673
1.065629392,0.672666667,1.05117594,0.681
1.043776318,0.680866667,1.029324581,0.69
1.022980253,0.6895,1.00850633,0.699666667
1.003147034,0.6973,0.988634135,0.707666667
0.984188423,0.704433333,0.969617042,0.716
0.966027676,0.710233333,0.951382237,0.723666667
0.948593871,0.7173,0.933861008,0.728333333
0.931823297,0.723633333,0.916994958,0.733333333
0.915662966,0.729933333,0.900732447,0.739
0.900066706,0.7354,0.8850295,0.745666667
0.884992738,0.741533333,0.869846362,0.750666667
0.870405956,0.747566667,0.85514755,0.756666667
0.856278035,0.753066667,0.84090532,0.762333333
0.842584497,0.757333333,0.827097616,0.766666667
0.829303582,0.762666667,0.81370404,0.773333333
0.816417815,0.7676,0.800709006,0.78
0.803916672,0.7725,0.788099964,0.785333333
0.791788508,0.776433333,0.77586769,0.79
0.780022566,0.7804,0.764006807,0.793666667
0.768610417,0.783666667,0.752500374,0.797333333
0.757546386,0.786566667,0.741347076,0.799
0.746823934,0.790166667,0.730540148,0.802333333
0.736438388,0.793033333,0.720075715,0.804666667
0.726385148,0.795933333,0.709951187,0.808333333
0.716660239,0.7985,0.700163927,0.812333333
0.707256444,0.801933333,0.690703796,0.814333333
0.69816719,0.804433333,0.681563474,0.816666667
0.689384241,0.8075,0.67273766,0.818666667
0.680901526,0.809866667,0.664217949,0.820666667
0.672710772,0.811766667,0.655996328,0.821666667
0.664803599,0.814466667,0.648068688,0.823333333
0.657171255,0.816066667,0.640421543,0.825
0.649802811,0.818266667,0.633045839,0.827666667
0.642688003,0.819833333,0.625927448,0.829333333
0.635818094,0.821633333,0.619061912,0.831333333
2.301873831,0.113266667,2.30174854,0.120666667
2.297311152,0.113266667,2.296817628,0.120666667
2.259004879,0.155033333,2.255786973,0.166
2.096422492,0.241066667,2.086690282,0.244
1.684358611,0.4687,1.667880471,0.470666667
1.257494102,0.603,1.2419513,0.612666667
1.002695639,0.696433333,0.988724791,0.702666667
0.842311016,0.760933333,0.828238461,0.772
0.725894909,0.7992,0.711082772,0.809
0.64081722,0.824666667,0.625223966,0.836
0.579988705,0.8399,0.563892476,0.847
0.535683015,0.8513,0.519406543,0.859
0.502232715,0.860166667,0.486130494,0.867
0.476212586,0.8673,0.460626438,0.875
0.455481799,0.8735,0.440646583,0.878
0.438642019,0.878233333,0.424704325,0.882666667
0.42469901,0.881833333,0.411791003,0.884333333
0.412968551,0.8847,0.401137044,0.887333333
0.402797125,0.887466667,0.392084565,0.889
0.394067817,0.8899,0.384421441,0.890666667
0.38632407,0.892066667,0.377763069,0.893
0.379375812,0.894133333,0.371885537,0.897
